Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,Sun Mar 11 16:00:04 +0000 2018,0.0,1.0,0.0,"By 2050, 30-50% of all species could be heading towards extinction. https://t.co/2TYrhIiBIw",0,BBC
0.0,Sun Mar 11 15:01:05 +0000 2018,0.0,1.0,0.0,?? Tomorrow’s space scientists will have to deal with a monumental amount of space junk left from previous spacecra… https://t.co/IJTpc5TBsd,1,BBC
0.0,Sun Mar 11 14:43:09 +0000 2018,0.0,1.0,0.0,"RT @5liveSport: For the final time...

The legendary John Motson is in our commentary box ????

He'll be commentating on #Arsenal vs #Watfo…",2,BBC
-0.0772,Sun Mar 11 14:00:04 +0000 2018,0.284,0.459,0.257,Making fake videos just got easier. https://t.co/VSP9bwHVNZ,3,BBC
-0.5267,Sun Mar 11 12:33:04 +0000 2018,0.145,0.855,0.0,"Captain America teams up with Black Widow to get to the bottom of a conspiracy. ????

Captain America: The Winter S… https://t.co/yDWYJRUgGi",4,BBC
0.0,Sun Mar 11 12:00:03 +0000 2018,0.0,1.0,0.0,? Meet Om Abdullah - Egypt's first official female minibus driver. https://t.co/Z4fmE1k5ph,5,BBC
-0.2755,Sun Mar 11 11:31:52 +0000 2018,0.095,0.905,0.0,"RT @BBCSport: We're not emotionally ready for this.

John Motson will deliver his final live BBC commentary today.

More details?
https://t…",6,BBC
0.1326,Sun Mar 11 11:10:49 +0000 2018,0.05,0.877,0.073,"RT @CBeebiesHQ: Doesn't matter if your family has:

One Mum???

Two Mums ???????

A Grandmum ??

... they all want a lie-in!

#HappyMothers…",7,BBC
0.7717,Sun Mar 11 10:32:04 +0000 2018,0.0,0.645,0.355,"? Surprise your mum with a homemade treat this #MothersDay – from easy cupcakes to luscious layer cakes.
?… https://t.co/p7n5lo2ziD",8,BBC
-0.25,Sun Mar 11 10:24:05 +0000 2018,0.155,0.747,0.098,"RT @BBCScotland: Undercover filming reveals Scotland's growing 'bag' problem.

See more from #ShortStuff -  https://t.co/orhxUmskEd 

#come…",9,BBC
0.0,Sun Mar 11 10:05:01 +0000 2018,0.0,1.0,0.0,? Blossom the pig can sit on command! https://t.co/mRGtuk0zqh,10,BBC
0.6808,Sun Mar 11 10:02:15 +0000 2018,0.0,0.789,0.211,"RT @BBC6Music: ? 6 Music launched 16 years ago today. 

When you turned 16, which album did you think was a masterpiece? Do you still love…",11,BBC
0.0,Sun Mar 11 09:38:23 +0000 2018,0.0,1.0,0.0,"RT @1Xtra: The new breed a dancehall artist @thebellablair performs for @davidrodigan #1XtraJamaica 

?? https://t.co/MrnHDz2ZyL https://t.…",12,BBC
0.7847,Sun Mar 11 09:35:38 +0000 2018,0.0,0.743,0.257,"RT @BBCRadio3: ""To my first Love, my Mother, on whose knee
I learnt love-lore that is not troublesome""
Christina Rossetti's 'Sonnets are fu…",13,BBC
0.5803,Sun Mar 11 09:33:16 +0000 2018,0.0,0.869,0.131,RT @TWBBC: Fry-up anyone?  ??? Did you know just 1.5 sausages could reduce your lifespan by 30 minutes? But 2-3 cups of coffee could gain y…,14,BBC
0.0,Sun Mar 11 09:30:10 +0000 2018,0.0,1.0,0.0,During the Middle Ages the custom developed of allowing people who had moved away to return and visit their mothers… https://t.co/UQD2ySeRH4,15,BBC
0.0,Sun Mar 11 08:32:02 +0000 2018,0.0,1.0,0.0,?? Singing is for everyone... even if you can't sing. https://t.co/eVIdGhswUT,16,BBC
0.8176,Sun Mar 11 08:02:00 +0000 2018,0.0,0.737,0.263,"?? Happy #MothersDay to all of the amazing mums out there, the mums-to-be and the mums who live on in our hearts.… https://t.co/v9yrzvfhqO",17,BBC
0.784,Sun Mar 11 08:00:48 +0000 2018,0.0,0.734,0.266,"RT @BBCWales: ? What better way to say Happy Mother's Day than with a marvellous marshmallow bouquet! ?

? Let little hands tackle this tas…",18,BBC
0.765,Sun Mar 11 07:49:57 +0000 2018,0.0,0.602,0.398,RT @BBCTwo: Celebrate #MothersDay with the #Motherland guide to good parenting... ? https://t.co/GMZLEfWuaF,19,BBC
0.4019,Sun Mar 11 02:07:01 +0000 2018,0.0,0.838,0.162,"RT @bbcasiannetwork: ?The Desi party don't start until you've heard @jennyjohalmusic singing 'Narma'  ? 
#AsianNetworkLive https://t.co/lah…",20,BBC
0.6783,Sat Mar 10 20:43:01 +0000 2018,0.0,0.828,0.172,"RT @BBCRadio2: She did it! Over 300 miles cycled. Over £500,000 raised so far for @SportRelief.

@ZoeTheBall, we are so proud! ?

Donate to…",21,BBC
-0.4019,Sat Mar 10 20:41:35 +0000 2018,0.137,0.863,0.0,"RT @BBCTwo: A shocking moment in history that changed the fashion world forever.

#ACSVersace continues Wednesday, 9pm, @BBCTwo. https://t.…",22,BBC
0.4588,Sat Mar 10 20:40:14 +0000 2018,0.0,0.842,0.158,"RT @BBCWales: Meet YouTube superstar @Gonth93

? Welcome to the world of #YoungWelshPrettyMinted ?

Tonight, 10.35pm - @BBCOne Wales
Availa…",23,BBC
0.4605,Sat Mar 10 20:28:00 +0000 2018,0.155,0.552,0.293,"RT @bbcrb: This. Is. So. Cute! ?
Who wouldn't love a tiny meal like this! ?? https://t.co/73t4rhbopo",24,BBC
0.6588,Sat Mar 10 20:27:17 +0000 2018,0.0,0.785,0.215,"RT @BBCScotland: Cathy's been having a great time at the spa! ??

Watch #TwoDoorsDown on @BBCiPlayer - https://t.co/JgbkHFXufb https://t.co…",25,BBC
0.4106,Sat Mar 10 20:25:58 +0000 2018,0.0,0.82,0.18,"RT @bbcasiannetwork: ? Don't miss a single bit of #AsianNetworkLive? 
Here's how to make sure you catch ALL the action ? https://t.co/AZIif…",26,BBC
-0.8316,Sat Mar 10 20:24:22 +0000 2018,0.281,0.719,0.0,RT @BBCiPlayer: Police officer Kris was left paralysed after being hit by a van in the Westminster bridge terrorist attack. Seven months la…,27,BBC
0.5267,Sat Mar 10 20:24:07 +0000 2018,0.0,0.815,0.185,"RT @BBCSport: Ireland have been crowned Six Nations champions with a match to spare.

https://t.co/YFyOxSY0Tp #SixNations https://t.co/K34r…",28,BBC
0.0,Sat Mar 10 18:11:11 +0000 2018,0.0,1.0,0.0,"RT @bbcasiannetwork: ?#AsianNetworkLive is taking over the airwaves tonight!
Catch all the action from
? 6pm on @bbcasiannetwork
? 7pm on @…",29,BBC
0.0,Sat Mar 10 18:10:57 +0000 2018,0.0,1.0,0.0,"RT @bbcasiannetwork: Which #AsianNetworkLive performance can't you wait for? ? 
? @jaysean
? @JasmineSandlas
? @lottoboyzz_
? @omgAdamSaleh…",30,BBC
0.0,Sat Mar 10 18:00:13 +0000 2018,0.0,1.0,0.0,?? Glass from the past. https://t.co/stRtHiAGGI,31,BBC
0.0,Sat Mar 10 17:00:18 +0000 2018,0.0,1.0,0.0,"??? A different portrait of black fatherhood. 
? https://t.co/SX1Lbqsss0 https://t.co/WQnNbAfIYK",32,BBC
-0.7783,Sat Mar 10 16:30:07 +0000 2018,0.63,0.37,0.0,Have we got depression wrong? https://t.co/yFPp67xmxe,33,BBC
0.8805,Sat Mar 10 15:59:11 +0000 2018,0.0,0.596,0.404,"RT @mixital: Enjoying @BBCOne’s Troy? 

Join our new creative challenge &amp; create your own #Troy art! Grab images from our website, make the…",34,BBC
-0.5411,Sat Mar 10 15:53:39 +0000 2018,0.127,0.873,0.0,"RT @BBCWales: 'Feel the fear and do it anyway'

That's Dilys's motto, and she's the @GWR holder for the Oldest Woman Skydiver in the world!…",35,BBC
0.1511,Sat Mar 10 15:32:03 +0000 2018,0.0,0.91,0.09,"?? The robots are coming! 

And this time they want to design and assemble your furniture. ? https://t.co/naCu7LJ0Mf",36,BBC
-0.3818,Sat Mar 10 15:00:05 +0000 2018,0.11,0.89,0.0,??? The pine marten has emerged as an unlikely ally for the beleaguered native red squirrel in its battle with the… https://t.co/aaJ1XuLJ78,37,BBC
0.0,Sat Mar 10 14:00:08 +0000 2018,0.0,1.0,0.0,? Do you know how many calories were in your lunch?https://t.co/ouomQAA92I,38,BBC
-0.5859,Sat Mar 10 13:14:03 +0000 2018,0.231,0.769,0.0,"Hindered by short-term memory loss, a man struggles to piece his life back together after his wife's murder.… https://t.co/IDASykaROO",39,BBC
-0.4588,Sat Mar 10 13:00:04 +0000 2018,0.75,0.25,0.0,"Heartbreaking. 
https://t.co/W8GJNKq8rm",40,BBC
0.4926,Sat Mar 10 13:00:03 +0000 2018,0.0,0.653,0.347,?? @GordonRamsay's daughter got him good! https://t.co/0dqwntX5uj,41,BBC
0.3724,Sat Mar 10 13:00:03 +0000 2018,0.0,0.758,0.242,"??? We're not crying... you're crying. 
#TheSilentChild #Oscars https://t.co/ienD3dDtKX",42,BBC
-0.5859,Sat Mar 10 13:00:03 +0000 2018,0.26,0.667,0.073,? Baptism at this church can be a matter of life and death. https://t.co/aEsVqMUPQ2,43,BBC
0.0,Sat Mar 10 12:00:04 +0000 2018,0.0,1.0,0.0,Don't look down! ? https://t.co/r4ChPajO4A,44,BBC
-0.3284,Sat Mar 10 11:59:24 +0000 2018,0.147,0.79,0.063,"RT @BBCRadioWales: ""The pain is so severe it feels like my body wants to explode."" 

#Endometriosis is as common as asthma but it takes, on…",45,BBC
-0.3256,Sat Mar 10 11:58:56 +0000 2018,0.175,0.727,0.098,"RT @BBCSpringwatch: We LOVE hedgehogs, but over the last decade we have lost over 40% of our prickly neighbours ? Billy's here to give us a…",46,BBC
0.0,Sat Mar 10 11:46:40 +0000 2018,0.0,1.0,0.0,"RT @bbcasiannetwork: ?? #AsianNetworkLive is TONIGHT! We are so excited!?? 
? Broadcasting live from ?6pm? on Asian Network and 
?7pm? on @…",47,BBC
0.0,Sat Mar 10 11:44:35 +0000 2018,0.0,1.0,0.0,RT @BBCAfrica: Could Nigeria's animation houses become as big as Nollywood? #Nigeria #Animation #Yoruba #Lagos #cartoons https://t.co/3Htr9…,48,BBC
0.0,Sat Mar 10 11:43:36 +0000 2018,0.0,1.0,0.0,RT @bbcthree: This woman is leading the #disabilibabe movement https://t.co/FlgCordJaC,49,BBC
0.5719,Sat Mar 10 11:43:31 +0000 2018,0.0,0.821,0.179,RT @BBCArchive: #OnThisDay 1977: Still searching for the perfect Mother's Day present? We humbly suggest a homemade thermodynamicizer - jus…,50,BBC
0.8356,Sat Mar 10 11:43:23 +0000 2018,0.0,0.655,0.345,"RT @bbcthesocial: Greg is 23 years old and a world piping champion. #IntoIt

Happy International Bagpipe Day! https://t.co/74f3USdg3H",51,BBC
-0.3818,Sat Mar 10 10:56:03 +0000 2018,0.133,0.867,0.0,"From boar hair toothbrushes to beeswax food wrap, here's how you can dump the disposable plastics ?… https://t.co/ydpoHWlJxA",52,BBC
0.0,Sat Mar 10 10:00:03 +0000 2018,0.0,1.0,0.0,"How is plastic affecting seabirds? 
#OurBluePlanet #BluePlanet2 https://t.co/bcvGKZjsJF",53,BBC
0.4173,Sat Mar 10 09:00:06 +0000 2018,0.0,0.888,0.112,Do you have a secret British accent? ?Take this quiz and we’ll pinpoint which part of the UK you most sound like yo… https://t.co/fiZDg5pK85,54,BBC
0.4404,Sat Mar 10 07:59:00 +0000 2018,0.0,0.756,0.244,"? 1 year ago today the world became a better place.
#BBCdad https://t.co/Q5I70XxT7T",55,BBC
0.0,Fri Mar 09 19:03:04 +0000 2018,0.0,1.0,0.0,"A new gardening year is beginning at Longmeadow. ????

Gardener's World | 8:30pm | @BBCTwo | https://t.co/R2ZqqlaEbQ https://t.co/A9Q43XOoxh",56,BBC
0.5719,Fri Mar 09 18:00:10 +0000 2018,0.0,0.764,0.236,? @MabelMcVey covering @Coldplay's 'Fix You' in the Live Lounge is just perfect. ? https://t.co/Sk9yMymZZs,57,BBC
0.0,Fri Mar 09 17:18:55 +0000 2018,0.0,1.0,0.0,"RT @bbcthesocial: Instead of a plastic straw, why not use a condom? ? https://t.co/XBtyZHdfkb",58,BBC
0.4939,Fri Mar 09 17:00:10 +0000 2018,0.0,0.656,0.344,"Want to improve your persuasion powers? 

? Just watch a cat. https://t.co/vA9asFlD9g",59,BBC
0.3818,Fri Mar 09 16:56:32 +0000 2018,0.0,0.874,0.126,RT @bbcworldservice: These images of women on their period are greeting commuters in Stockholm. For more listen/download ?: https://t.co/FL…,60,BBC
0.5848,Fri Mar 09 16:56:13 +0000 2018,0.0,0.807,0.193,"RT @bbcwritersroom: ""I felt like a real writer by the end of it!"" 

Find out how we created 6 #Comedy monologues for @bbcasiannetwork #Asia…",61,BBC
0.0,Fri Mar 09 16:53:47 +0000 2018,0.0,1.0,0.0,"RT @BBCScotland: ""If there is a real live superwoman, she is it.""

Meet the surgeon who walked for eight miles in the heavy snow so she cou…",62,BBC
0.0,Fri Mar 09 16:39:50 +0000 2018,0.0,1.0,0.0,RT @BBCFOUR: Are we really born to prefer 'boys' or 'girls' toys? The answer might lie with monkeys... https://t.co/TPHeE7cStK,63,BBC
0.4939,Fri Mar 09 14:30:07 +0000 2018,0.0,0.842,0.158,Noel and Liam Gallagher will headline @BBCRadio2's stages at the BBC's Biggest Weekend Festival in May ??… https://t.co/q7YblDKT2N,64,BBC
-0.4404,Fri Mar 09 14:00:18 +0000 2018,0.178,0.822,0.0,?? The packaging industry in England has been accused of exaggerating the amount of its plastic that gets recycled.… https://t.co/lHpw5rVHub,65,BBC
0.7783,Fri Mar 09 13:30:05 +0000 2018,0.0,0.672,0.328,Over 80 but as healthy as a 20-year-old: How exercise in old age prevents the immune system from declining… https://t.co/jABPPvkafN,66,BBC
0.0,Fri Mar 09 12:30:02 +0000 2018,0.0,1.0,0.0,"It took almost a year to get to the final look of Snoke. 
#StarWars #TheLastJedi https://t.co/o6ttTvHdQy",67,BBC
0.0,Fri Mar 09 12:13:43 +0000 2018,0.0,1.0,0.0,RT @BBCWorld: Winter Paralympics opening ceremony begins in Pyeongchang https://t.co/VP4W2q1Hhe,68,BBC
0.5719,Fri Mar 09 11:51:14 +0000 2018,0.0,0.684,0.316,RT @bbcthree: BBC Three presents Perfect Day #perfectday2018 https://t.co/oFgg0vJJgP,69,BBC
0.6114,Fri Mar 09 11:36:57 +0000 2018,0.0,0.637,0.363,"RT @BBCR1: Happy Birthday, Suga @BTS_twt! ??? https://t.co/7Al640sBgB",70,BBC
0.5859,Fri Mar 09 11:03:23 +0000 2018,0.0,0.863,0.137,RT @bbcarts: ? This is the amazing moment when eight London teenagers hear an #opera singer in the flesh for the first time. Watch the full…,71,BBC
0.0,Fri Mar 09 11:00:05 +0000 2018,0.0,1.0,0.0,"""For the first time, we think we’re actually able to recreate real living heart tissue which is identical to that o… https://t.co/kGIMWWBf4z",72,BBC
0.0,Fri Mar 09 10:15:05 +0000 2018,0.0,1.0,0.0,The #BiggestWeekend lineup just got bigger! More artists have been added to all four locations including… https://t.co/5G2GqBHkHK,73,BBC
0.4389,Fri Mar 09 09:00:04 +0000 2018,0.0,0.806,0.194,? This Lancashire farmer revives frozen lambs by sticking them inside an oven! https://t.co/z1UvoIiRXY,74,BBC
0.0,Fri Mar 09 08:30:08 +0000 2018,0.0,1.0,0.0,"?? The world's oldest known message in a bottle has been found, almost 132 years after it was thrown into the sea.… https://t.co/fHdTDbK2Mg",75,BBC
0.4404,Fri Mar 09 08:00:05 +0000 2018,0.0,0.734,0.266,??? Fruit tea is good for you. Right...? https://t.co/YExPNJG6bE,76,BBC
0.0,Thu Mar 08 21:28:00 +0000 2018,0.0,1.0,0.0,"This Ancient Egyptian pharaoh invested more in images of himself than any other ruler, and for him, size really did… https://t.co/IUlHKvTATa",77,BBC
0.4019,Thu Mar 08 20:33:04 +0000 2018,0.0,0.856,0.144,"Jack Jarvis and Victor McDade are back for another hilarious six-part series. 

#StillGame | 9:30pm | @BBCOne |… https://t.co/zFtd4VQyKL",78,BBC
0.0,Thu Mar 08 20:03:04 +0000 2018,0.0,1.0,0.0,"Lucy and Lee are back! ??

#NotGoingOut | 9pm | @BBCOne | https://t.co/dUnnFaIoci https://t.co/gSpTMCPrSC",79,BBC
0.0,Thu Mar 08 18:00:06 +0000 2018,0.0,1.0,0.0,"What advice would YOU give your younger self? ?

#InternationalWomensDay #IWD2018 https://t.co/vIwPLtzTbO",80,BBC
-0.1027,Thu Mar 08 17:30:11 +0000 2018,0.177,0.664,0.159,"In recognition of International Women’s Day, a playlist in celebration of the funniest, saddest and most significan… https://t.co/4WCrxvJxFY",81,BBC
0.0,Thu Mar 08 17:00:09 +0000 2018,0.0,1.0,0.0,"? More than half of the UK can't name a famous woman in science. 

Time to change that. 
? https://t.co/3HVhvFaxaT… https://t.co/KL0D1vIw8S",82,BBC
0.5719,Thu Mar 08 16:30:05 +0000 2018,0.0,0.764,0.236,"??? Lotte Reiniger is the unsung heroine of early animation. 

#InternationalWomensDay #IWD2018 https://t.co/Z4qDFWXcCS",83,BBC
0.5803,Thu Mar 08 16:05:42 +0000 2018,0.0,0.819,0.181,"RT @BBCMOTD: Favourite emoji?
Champions League or World Cup?

@TekkerzKid quizzes @ManUtd striker @MarcusRashford for #BBCOwnIt.

? Check o…",84,BBC
0.0,Thu Mar 08 15:30:09 +0000 2018,0.0,1.0,0.0,"??? The story of the fall and rise of women's football, told through 10 objects collected by the National… https://t.co/xOi8wNW64N",85,BBC
0.0,Thu Mar 08 15:09:13 +0000 2018,0.0,1.0,0.0,"RT @bbcmusic: ? @Camila_Cabello just dropped the video for 'Never Be The Same' ?
What do you think?

Watch ? https://t.co/gv60m6x9Wk https:…",86,BBC
0.0,Thu Mar 08 15:00:05 +0000 2018,0.0,1.0,0.0,"Nine-year-old Lola thinks more girls should take up skateboarding.

Lola is rad. ??

#InternationalWomensDay… https://t.co/EeOygOVfoh",87,BBC
-0.4588,Thu Mar 08 14:30:02 +0000 2018,0.143,0.857,0.0,"?? #AnnieSwynnerton: The woman who forced open the male art world and blazed a trail for female artists.
?… https://t.co/rHDoqWL4iI",88,BBC
0.0,Thu Mar 08 13:30:05 +0000 2018,0.0,1.0,0.0,"?? These women are pushing young girls into school, not marriage. 

#InternationalWomensDay #IWD2018 https://t.co/TIf5lbu3GZ",89,BBC
0.0,Thu Mar 08 13:09:22 +0000 2018,0.0,1.0,0.0,"RT @bbcworldservice: In Senegal, graffiti artist Zeinixx is campaigning for women's rights... with spray paint. ?? https://t.co/cy2ddCmEKo",90,BBC
-0.5994,Thu Mar 08 13:02:03 +0000 2018,0.145,0.855,0.0,"RT @bbc5live: “That was the end of my childhood”

Money saving expert @MartinSLewis opens up to @tonylivesey about the death of his mum, th…",91,BBC
0.0,Thu Mar 08 13:00:08 +0000 2018,0.0,1.0,0.0,? ?Grime through time: A brief history of one of the biggest music genres to come out of the UK https://t.co/876CsOCFsa,92,BBC
0.0,Thu Mar 08 12:34:42 +0000 2018,0.0,1.0,0.0,"RT @BBCRadio4: Ten female authors who changed sci-fi: https://t.co/r5s1mqYrQD
#IWD2018 https://t.co/cQxHsT9c3E",93,BBC
0.0,Thu Mar 08 12:30:04 +0000 2018,0.0,1.0,0.0,"Thousands of women in the UK can't afford to buy tampons and towels. 

#InternationalWomensDay #IWD2018 https://t.co/66P7IrZ9lB",94,BBC
0.4753,Thu Mar 08 12:00:02 +0000 2018,0.0,0.795,0.205,"????? Building future engineers - it's a lot easier than you think! 

#BitzAndBob | @CbeebiesHQ https://t.co/YV3kTIj0Dx",95,BBC
0.5859,Thu Mar 08 11:46:51 +0000 2018,0.0,0.789,0.211,"RT @BBCR1: ??? 

Who's ready for @thegreatkhalid in the Live Lounge?

Make sure you're listening to @claraamfo at 12pm ? https://t.co/48Ruy…",96,BBC
0.0,Thu Mar 08 11:00:05 +0000 2018,0.0,1.0,0.0,"Life advice from one of our all-time favourite women, @DawnFrenchUK.  

#InternationalWomensDay #IWD2018 https://t.co/MAOUgpWb7J",97,BBC
0.6996,Thu Mar 08 10:54:28 +0000 2018,0.0,0.721,0.279,RT @bbcthree: Happy International Women’s Day! Here's @StaceyDooley with some top tips for aspiring broadcasters #IWD2018 https://t.co/Rbq7…,98,BBC
0.0,Thu Mar 08 10:32:59 +0000 2018,0.0,1.0,0.0,RT @bbcarts: Clay artist @_PhoebeCummings launches her new incredible new work on #InternationalWomensDay. Audiences can watch as the sculp…,99,BBC
0.4926,Fri Mar 09 22:48:26 +0000 2018,0.0,0.883,0.117,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…,0,CBS
0.1275,Fri Mar 09 22:24:20 +0000 2018,0.092,0.795,0.113,"RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…",1,CBS
0.4215,Fri Mar 09 21:10:21 +0000 2018,0.0,0.823,0.177,"Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five… https://t.co/Ncp1BTXx6N",2,CBS
0.8658,Fri Mar 09 18:27:28 +0000 2018,0.0,0.553,0.447,"RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…",3,CBS
0.0,Fri Mar 09 16:02:27 +0000 2018,0.0,1.0,0.0,RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW,4,CBS
0.8625,Thu Mar 08 18:00:49 +0000 2018,0.0,0.664,0.336,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT,5,CBS
0.4926,Thu Mar 08 17:03:04 +0000 2018,0.0,0.868,0.132,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy,6,CBS
-0.2023,Wed Mar 07 18:39:10 +0000 2018,0.23,0.619,0.15,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. ? Here's what critics are saying about #TheGoodF…",7,CBS
0.0,Wed Mar 07 17:06:02 +0000 2018,0.0,1.0,0.0,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",8,CBS
0.6705,Tue Mar 06 18:10:59 +0000 2018,0.0,0.756,0.244,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",9,CBS
0.3818,Mon Mar 05 22:16:43 +0000 2018,0.0,0.833,0.167,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",10,CBS
0.4404,Sun Mar 04 08:05:26 +0000 2018,0.0,0.884,0.116,"RT @thegoodfight: It feels good to be back. ??? The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",11,CBS
0.0,Sat Mar 03 20:55:20 +0000 2018,0.0,1.0,0.0,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",12,CBS
0.7096,Fri Mar 02 22:30:01 +0000 2018,0.0,0.753,0.247,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",13,CBS
0.7096,Fri Mar 02 20:30:01 +0000 2018,0.0,0.718,0.282,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3",14,CBS
0.4939,Fri Mar 02 18:45:00 +0000 2018,0.0,0.849,0.151,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO",15,CBS
-0.6981,Thu Mar 01 18:59:01 +0000 2018,0.21,0.79,0.0,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,16,CBS
0.4547,Thu Mar 01 18:12:57 +0000 2018,0.092,0.749,0.159,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…",17,CBS
0.8591,Thu Mar 01 18:11:50 +0000 2018,0.0,0.462,0.538,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF,18,CBS
0.4885,Thu Mar 01 18:10:50 +0000 2018,0.151,0.615,0.234,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…,19,CBS
0.5994,Thu Mar 01 14:36:21 +0000 2018,0.0,0.822,0.178,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…",20,CBS
0.7717,Thu Mar 01 14:29:20 +0000 2018,0.0,0.675,0.325,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…",21,CBS
0.6908,Thu Mar 01 14:15:29 +0000 2018,0.0,0.725,0.275,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ",22,CBS
0.0,Thu Mar 01 13:50:11 +0000 2018,0.0,1.0,0.0,"The Queen of Country, @Reba, is returning to host the 53rd #ACMawards on Sunday, April 15 at 8/7c. Here are a few o… https://t.co/Iqzz6Gql01",23,CBS
0.0,Thu Mar 01 01:04:52 +0000 2018,0.0,1.0,0.0,RT @survivorcbs: It’s time! #Survivor https://t.co/YPk6cGWrUA,24,CBS
0.0,Wed Feb 28 19:56:58 +0000 2018,0.0,1.0,0.0,"RT @CBSThisMorning: TOMORROW: The nominees for the 2018 @ACMawards will be announced live by the one-and-only, @Reba! 

Watch on @CBS in ou…",25,CBS
